#,Constituency,Canidate,Party
1, Kasaragod, Rajmohan Unnithan, INC
1, Kasaragod, MV Balakrishnan, CPI(M)
1, Kasaragod, ML Ashwini, BJP
2, Kannur, K. Sudhakaran, INC
2, Kannur, MV Jayarajan, CPI(M)
2, Kannur, C Raghunath, BJP
3, Vatakara, Shafi Parambil, INC
3, Vatakara, K. K. Shailaja, CPI(M)
3, Vatakara, Prafulla Krishna, BJP
4, Wayanad, Rahul Gandhi, INC
4, Wayanad, Annie Raja, CPI
4, Wayanad, K Surendran, BJP
5, Kozhikode, MK Raghavan, INC
5, Kozhikode, Elamaram Kareem, CPI(M)
5, Kozhikode, MT Ramesh, BJP
6, Malappuram, ET Mohammed Basheer, IUML
6, Malappuram, V Vaseef, CPI(M)
6, Malappuram, M Abdul Salam, BJP
7, Ponnani, Abdussamad Samadani, IUML
7, Ponnani, K.S. Hamza, CPI(M)
7, Ponnani, Niveditha Subramanian, BJP
8, Palakkad, VK Sreekandan, INC
8, Palakkad, A Vijayaraghavan, CPI(M)
8, Palakkad, C KrishnaKumar, BJP
9, Alathur SC), Ramya Haridas, INC
9, Alathur SC), K. Radhakrishnan, CPI(M)
9, Alathur SC), TN Sarasu, BJP
10, Thrissur, K Muraleedharan, INC
10, Thrissur, VS Sunil Kumar, CPI(M)
10, Thrissur, Suresh Gopi, BJP
11, Chalakudy, Benny Behanan, INC
11, Chalakudy, C Raveendranath, BDJS
11, Chalakudy, KA Unnikrishnan, BJP
12, Ernakulam, Hibi Eden, INC
12, Ernakulam, KJ Shine, CPI(M)
12, Ernakulam, KS Radhakrishnan, BJP
13, Idukki, Dean Kuriakose, INC
13, Idukki, Joice George, CPI(M)
13, Idukki, Sangeetha Vishwanathan, BDJS
14, Kottayam, Francis George, KEC
14, Kottayam, Thomas Chazhikadan, KC(M)
14, Kottayam, Thushar Vellapally, BDJS
15, Alappuzha, KC Venugopal, INC
15, Alappuzha, AM Ariff, CPI(M)
15, Alappuzha, Sobha Surendran, BJP
16, Mavelikara SC), Kodikunnil Suresh, INC
16, Mavelikara SC), CA Arun Kumar, CPI(M)
16, Mavelikara SC), Baiju Kalasala, BJP
17, Pathanamthitta, Anto Antony, INC
17, Pathanamthitta, Thomas Isaac, CPI(M)
17, Pathanamthitta, Anil Antony, BJP
18, Kollam, NK Premachandran, RSP
18, Kollam, Mukesh Madhavan, CPI(M)
18, Kollam, G Krishnakumar, BJP
19, Attingal, Adoor Prakash, INC
19, Attingal, V Joy, CPI(M)
19, Attingal, V Muraleedharan, BJP
20, Thiruvananthapuram, Shashi Tharoor, INC
20, Thiruvananthapuram, Pannyan Raveendran, CPI
20, Thiruvananthapuram, Rajeev Chandrasekhar, BJP
