#,Constituency,Electors,Total Votes,Turnout%,Elected Member,Elected Party,Vote Share%,Margin
1,Kasaragod,1160134,898763,77.47,P. Karunakaran,CPI(M),48.5,108256
2,Kannur,1088892,862247,79.19,A. P. Abdullakutty,CPI(M),50.5,83849
3,Vatakara,1092826,828650,75.83,P.Sateeidevi,CPI(M),51.8,130589
4,Kozhikode,1109433,781384,70.43,M. P. Veerendra Kumar,JD(S),43.5,65326
5,Manjeri,1262473,914093,72.4,T. K. Hamza,CPI(M),47.1,47743
6,Ponnani,1172057,730364,62.31,E. Ahammed,IUML,48.5,102758
7,Palakkad,1111078,821279,73.92,N. N. Krishnadas,CPI(M),45.7,98158
8,Ottapalam,1092142,807039,73.9,S. Ajaya Kumar,CPI(M),49,70410
9,Thrissur,990732,687793,69.42,C. K. Chandrappan,CPI,46.7,45961
10,Mukundapuram,1024435,723147,70.59,Lonappan Nambadan,CPI(M),51.9,117097
11,Ernakulam,1079109,659176,61.09,Sebastian Paul,LDF Ind.,49,70099
12,Muvattupuzha,984003,747028,75.92,P. C. Thomas,IFDP,34.3,529
13,Kottayam,963886,706213,73.27,Vijayamma. S,INC,44.3,42914
14,Idukki,1034338,729521,70.53,K. Francis George,KC,48.5,69384
15,Alappuzha,971172,730539,75.22,K. S. Manoj,CPI(M),46,1009
16,Mavelikkara (SC),871616,644871,73.99,C. S. Sujatha,CPI(M),43.2,7414
17,Adoor,960310,684698,71.3,Chengara Surendran,CPI,48.5,54534
18,Kollam,1032368,705808,68.37,P. Rajendran,CPI(M),50.4,111071
19,Chirayinkil,1020604,669855,65.63,Varkala Radhakrishnan,CPI(M),46.8,50742
20,Thiruvananthapuram,1112571,764317,68.7,Pannyan Raveendran,CPI,51.41,74200
