No.,Constituency,Name of Elected M.P.,Party Affiliation,Alliance
1,Kasaragod,P. Karunakaran,CPI(M),LDF
2,Kannur,A. P. Abdullakutty,CPI(M),LDF
3,Vatakara,P.Sateeidevi,CPI(M),LDF
4,Kozhikode,M. P. Veerendra Kumar,JD(S),LDF
5,Manjeri,T. K. Hamza,CPI(M),LDF
6,Ponnani,E. Ahammed,IUML,UDF
7,Palakkad,N. N. Krishnadas,CPI(M),LDF
8,Ottapalam,S. Ajaya Kumar,CPI(M),LDF
9,Thrissur,C. K. Chandrappan,CPI,LDF
10,Mukundapuram,Lonappan Nambadan,CPI(M),LDF
11,Ernakulam,Sebastian Paul,LDF Ind.,LDF
12,Muvattupuzha,P. C. Thomas,IFDP,NDA
13,Kottayam,Vijayamma. S,INC,UDF
14,Idukki,K. Francis George,KC,LDF
15,Alappuzha,K. S. Manoj,CPI(M),LDF
16,Mavelikkara,C. S. Sujatha,CPI(M),LDF
17,Adoor,Chengara Surendran,CPI,LDF
18,Kollam,P. Rajendran,CPI(M),LDF
19,Chirayinkil,Varkala Radhakrishnan,CPI(M),LDF
20,Thiruvananthapuram,P. K. Vasudevan Nair,CPI,LDF
20,Thiruvananthapuram,Pannyan Raveendran,CPI,LDF
