#,Constituency,Candidate,Party,Alliance
1,Kasaragod,Rajmohan Unnithan,  INC,UDF
2,Kannur,K. Sudhakaran,  INC,UDF
3,Vatakara,K. Muraleedharan,  INC,UDF
4,Wayanad,Rahul Gandhi,  INC,UDF
5,Kozhikode,M. K. Raghavan,  INC,UDF
6,Malappuram,P. K. Kunhalikutty,  IUML,UDF
7,Ponnani,E. T. Mohammed Basheer,  IUML,UDF
8,Palakkad,V.K Sreekandan,  INC,UDF
9,Alathur (SC),Remya Haridas,  INC,UDF
10,Thrissur,T. N. Prathapan,  INC,UDF
11,Chalakudy,Benny Behanan,  INC,UDF
12,Ernakulam,Hibi Eden,  INC,UDF
13,Idukki,Dean Kuriakose,  INC,UDF
14,Kottayam,Thomas Chazhikadan,  KC(M),UDF
15,Alappuzha,Shanimol Usman,  INC,UDF
16,Mavelikkara (SC),Kodikunnil Suresh,  INC,UDF
17,Pathanamthitta,Anto Antony,  INC,UDF
18,Kollam,N. K. Premachandran,  RSP,UDF
19,Attingal,Adoor Prakash,  INC,UDF
20,Thiruvananthapuram,Shashi Tharoor,  INC,UDF
1,Kasaragod,K. P. Satheesh Chandran,  CPI(M),LDF
2,Kannur,P. K. Sreemathy,  CPI(M),LDF
3,Vatakara,P. Jayarajan,  CPI(M),LDF
4,Wayanad,P. P. Suneer,  CPI,LDF
5,Kozhikode,A. Pradeepkumar,  CPI(M),LDF
6,Malappuram,V. P. Sanu,  CPI(M),LDF
7,Ponnani,P. V. Anvar,  Independent,LDF
8,Palakkad,M. B. Rajesh,  CPI(M),LDF
9,Alathur (SC),P. K. Biju,  CPI(M),LDF
10,Thrissur,Rajaji Mathew Thomas,  CPI,LDF
11,Chalakudy,Innocent Vareed Thekkethala,  CPI(M),LDF
12,Ernakulam,P. Rajeev,  CPI(M),LDF
13,Idukki,Joice George,  Independent,LDF
14,Kottayam,V. N. Vasavan,  CPI(M),LDF
15,Alappuzha,A. M. Ariff,  CPI(M),LDF
16,Mavelikkara (SC),Chittayam Gopakumar,  CPI,LDF
17,Pathanamthitta,Veena George,  CPI(M),LDF
18,Kollam,K. N. Balagopal,  CPI(M),LDF
19,Attingal,A. Sampath,  CPI(M),LDF
20,Thiruvananthapuram,C. Divakaran,  CPI,LDF
1,Kasaragod,Raveesh Thanthri Kuntar,  BJP,NDA
2,Kannur,C. K. Padmanabhan,  BJP,NDA
3,Vatakara,V. K. Sajeevan,  BJP,NDA
4,Wayanad,Thushar Vellapally,  BDJS,NDA
5,Kozhikode,K. P. Prakash Babu,  BJP,NDA
6,Malappuram,Unnikrishnan Master,  BJP,NDA
7,Ponnani,V. T. Rema,  BJP,NDA
8,Palakkad,C. Krishnakumar,  BJP,NDA
9,Alathur (SC),T. V. Babu,  BDJS,NDA
10,Thrissur,Suresh Gopi,  BJP,NDA
11,Chalakudy,A. N. Radhakrishnan,  BJP,NDA
12,Ernakulam,Alphons Kannanthanam,  BJP,NDA
13,Idukki,Biju Krishnan,  BDJS,NDA
14,Kottayam,P. C. Thomas,  KC(T),NDA
15,Alappuzha,K. S. Radhakrishnan,  BJP,NDA
16,Mavelikkara (SC),Thazhava Sahadevan,  BDJS,NDA
17,Pathanamthitta,K. Surendran,  BJP,NDA
18,Kollam,K. V. Sabu,  BJP,NDA
19,Attingal,Shobha Surendran,  BJP,NDA
20,Thiruvananthapuram,Kummanam Rajasekharan,  BJP,NDA
