#,Constituency,Year,Alliance,Party,Candidate,Total Candidate Votes,Candidate VoteShare%,Total Electors,Total Votes Polled,VoterTurnOut%
1,Kasaragod,2019,UDF,INC,Rajmohan Unnithan,474961,43.75,1363937,1100099,80.60%
1,Kasaragod,2019,LDF,CPI(M),K. P. Satheesh Chandran,434523,40.03,1363937,1100099,80.60%
1,Kasaragod,2019,NDA,BJP,Raveesh Thanthri Kuntar,176049,16.22,1363937,1100099,80.60%
2,Kannur,2019,UDF,INC,K. Sudhakaran,529741,51.26,1266550,1054746,83.20%
2,Kannur,2019,LDF,CPI(M),P. K. Sreemathy,435182,42.11,1266550,1054746,83.20%
2,Kannur,2019,NDA,BJP,C. K. Padmanabhan,68509,6.63,1266550,1054746,83.20%
3,Vadakara,2019,UDF,INC,K. Muraleedharan,526755,50.22,1288926,1065932,82.60%
3,Vadakara,2019,LDF,CPI(M),P. Jayarajan,442092,42.15,1288926,1065932,82.60%
3,Vadakara,2019,NDA,BJP,V. K. Sajeevan,80128,7.64,1288926,1065932,82.60%
4,Wayanad,2019,UDF,INC,Rahul Gandhi,706367,66.65,1359679,1092759,80.30%
4,Wayanad,2019,LDF,CPI,P. P. Suneer,274597,25.91,1359679,1092759,80.30%
4,Wayanad,2019,NDA,BDJS,Thushar Vellapally,78816,7.44,1359679,1092759,80.30%
5,Kozhikode,2019,UDF,INC,M. K. Raghavan,493444,46.43,1318024,1076882,81.70%
5,Kozhikode,2019,LDF,CPI(M),A. Pradeepkumar,408219,38.41,1318024,1076882,81.70%
5,Kozhikode,2019,NDA,BJP,K. P. Prakash Babu,161216,15.17,1318024,1076882,81.70%
6,Malappuram,2019,UDF,IUML,P. K. Kunhalikutty,589873,58.87,1370544,1034799,75.50%
6,Malappuram,2019,LDF,CPI(M),V. P. Sanu,329720,32.91,1370544,1034799,75.50%
6,Malappuram,2019,NDA,BJP,Unnikrishnan Master,82332,8.22,1370544,1034799,75.50%
7,Ponnani,2019,UDF,IUML,E. T. Mohammed Basheer,521824,54.3,1356803,1017366,74.90%
7,Ponnani,2019,LDF,Independent,P. V. Anvar,328551,34.19,1356803,1017366,74.90%
7,Ponnani,2019,NDA,BJP,V. T. Rema,110603,11.51,1356803,1017366,74.90%
8,Palakkad,2019,UDF,INC,V.K Sreekandan,399274,39.71,1323010,1028874,77.70%
8,Palakkad,2019,LDF,CPI(M),M. B. Rajesh,387637,38.55,1323010,1028874,77.70%
8,Palakkad,2019,NDA,BJP,C. Krishnakumar,218556,21.74,1323010,1028874,77.70%
9,Alathur (SC),2019,UDF,INC,Remya Haridas,533815,53.46,1266794,1019376,80.40%
9,Alathur (SC),2019,LDF,CPI(M),P. K. Biju,374847,37.54,1266794,1019376,80.40%
9,Alathur (SC),2019,NDA,BDJS,T. V. Babu,89837,9,1266794,1019376,80.40%
10,Thrissur,2019,UDF,INC,T. N. Prathapan,415089,40.29,1337110,1042122,77.90%
10,Thrissur,2019,LDF,CPI,Rajaji Mathew Thomas,321456,31.2,1337110,1042122,77.90%
10,Thrissur,2019,NDA,BJP,Suresh Gopi,293822,28.52,1337110,1042122,77.90%
11,Chalakudy,2019,UDF,INC,Benny Behanan,473444,48.87,1230197,990433,80.50%
11,Chalakudy,2019,LDF,CPI(M),Innocent Vareed Thekkethala,341170,35.22,1230197,990433,80.50%
11,Chalakudy,2019,NDA,BJP,A. N. Radhakrishnan,154159,15.91,1230197,990433,80.50%
12,Ernakulam,2019,UDF,INC,Hibi Eden,491263,51.65,1245972,967390,77.60%
12,Ernakulam,2019,LDF,CPI(M),P. Rajeev,322110,33.87,1245972,967390,77.60%
12,Ernakulam,2019,NDA,BJP,Alphons Kannanthanam,137749,14.48,1245972,967390,77.60%
13,Idukki,2019,UDF,INC,Dean Kuriakose,498493,55.11,1204191,919559,76.30%
13,Idukki,2019,LDF,Independent,Joice George,327440,36.2,1204191,919559,76.30%
13,Idukki,2019,NDA,BDJS,Biju Krishnan,78648,8.69,1204191,919559,76.30%
14,Kottayam,2019,UDF,KC(M),Thomas Chazhikadan,421046,47.26,1206698,910648,75.40%
14,Kottayam,2019,LDF,CPI(M),V. N. Vasavan,314787,35.33,1206698,910648,75.40%
14,Kottayam,2019,NDA,KC(T),P. C. Thomas,155135,17.41,1206698,910648,75.40%
15,Alappuzha,2019,UDF,INC,Shanimol Usman,435496,40.73,1356701,1090112,80.30%
15,Alappuzha,2019,LDF,CPI(M),A. M. Ariff,445970,41.71,1356701,1090112,80.30%
15,Alappuzha,2019,NDA,BJP,K. S. Radhakrishnan,187729,17.56,1356701,1090112,80.30%
16,Mavelikkara (SC),2019,UDF,INC,Kodikunnil Suresh,440415,46.2,1308102,972360,74.30%
16,Mavelikkara (SC),2019,LDF,CPI,Chittayam Gopakumar,379277,39.79,1308102,972360,74.30%
16,Mavelikkara (SC),2019,NDA,BDJS,Thazhava Sahadevan,133546,14.01,1308102,972360,74.30%
17,Pathanamthitta,2019,UDF,INC,Anto Antony,380927,37.53,1382741,1027378,74.30%
17,Pathanamthitta,2019,LDF,CPI(M),Veena George,336684,33.17,1382741,1027378,74.30%
17,Pathanamthitta,2019,NDA,BJP,K. Surendran,297396,29.3,1382741,1027378,74.30%
18,Kollam,2019,UDF,RSP,N. K. Premachandran,499677,52.39,1296720,969017,74.70%
18,Kollam,2019,LDF,CPI(M),K. N. Balagopal,350821,36.78,1296720,969017,74.70%
18,Kollam,2019,NDA,BJP,K. V. Sabu,103339,10.83,1296720,969017,74.70%
19,Attingal,2019,UDF,INC,Adoor Prakash,380995,39.2,1350710,1006048,74.40%
19,Attingal,2019,LDF,CPI(M),A. Sampath,342748,35.27,1350710,1006048,74.40%
19,Attingal,2019,NDA,BJP,Shobha Surendran,248081,25.53,1350710,1006048,74.40%
20,Thiruvananthapuram,2019,UDF,INC,Shashi Tharoor,416151,42,1371427,1011268,73.70%
20,Thiruvananthapuram,2019,LDF,CPI,C. Divakaran,258556,26.09,1371427,1011268,73.70%
20,Thiruvananthapuram,2019,NDA,BJP,Kummanam Rajasekharan,316142,31.91,1371427,1011268,73.70%
