No,Constituency,UDF Candidate,UDF Party,UDF Votes,UDF VoteShare%,LDF Candidate,LDF Party,LDF Votes,LDF VoteShare%,NDA Candidate,NDA Party,NDA Votes,NDA VoteShare%,Other Candidate,Other Votes,Other %,Other Party,Winning Alliance,Margin
1,Kasaragod,T. Siddique,INC,378043,38.80%,P. Karunakaran,CPI(M),384964,39.50%,K. Surendran,BJP,172826,17.70%,Abdul Salam N. U.,9713,1.00%,SDPI,Left Democratic Front,6921
2,Kannur,K. Sudhakaran,INC,421056,44.50%,P. K. Sreemathy,CPI(M),427622,45.10%,P. C. Mohanan,BJP,51636,5.50%,K. K. Abdul Jabbar,19170,2.00%,SDPI,Left Democratic Front,6566
3,Vatakara,Mullappally Ramachandran,INC,416479,43.40%,A. N. Shamseer,CPI(M),413173,43.10%,V. K. Sajeevan,BJP,76313,8.00%,P. Kumarankutty,17229,1.80%,IND,United Democratic Front,3306
4,Wayanad,M. I. Shanavas,INC,377035,41.20%,Sathyan Mokeri,CPI,356165,38.90%,P. R. Rasmilnath,BJP,80752,8.80%,P. V. Anvar,37123,4.10%,NCP,United Democratic Front,20870
5,Kozhikode,M. K. Raghavan,INC,397615,42.20%,A. Vijayaraghavan,CPI(M),380732,40.40%,C. K. Padmanabhan,BJP,115760,12.30%,K. P. Ratheesh,13934,1.50%,AAP,United Democratic Front,16883
6,Malappuram,E. Ahammed,IUML,437723,51.30%,P. K. Sainaba,CPI(M),242984,28.50%,N. Sreeprakash,BJP,64705,7.60%,Nasarudheen,47853,5.60%,SDPI,United Democratic Front,194739
7,Ponnani,E. T. Muhammed Basheer,IUML,378503,43.40%,V. Abdurahiman,IND,353093,40.50%,Narayanan,BJP,75212,8.60%,V. T. Ikramul Haque,26640,3.10%,SDPI,United Democratic Front,25410
8,Palakkad,M. P. Veerendrakumar,SJ(D),307597,33.80%,M. B. Rajesh,CPI(M),412897,45.40%,Sobha Surendran,BJP,136587,15.00%,E. S. Khaja Hussain,12504,1.40%,SDPI,Left Democratic Front,105300
9,Alathur,Sheeba,INC,374496,40.40%,P. K. Biju,CPI(M),411808,44.40%,Shajumon Vattekkattu,BJP,87803,9.50%,Krishnan Eranhikkal,7820,0.80%,SDPI,Left Democratic Front,37312
10,Thrissur,K. P. Dhanapalan,INC,350982,38.10%,C. N. Jayadevan,CPI,389209,42.30%,K. P. Sreesan,BJP,102681,11.20%,Sarah Joseph,44638,4.80%,AAP,Left Democratic Front,38227
11,Chalakudy,P. C. Chacko,INC,344556,39.00%,Innocent,IND,358440,40.50%,B. Gopalakrishnan,BJP,92848,10.50%,K. M. Noordeen,35189,4.00%,AAP,Left Democratic Front,13884
12,Ernakulam,K. V. Thomas,INC,353841,41.60%,Christy Fernandez,IND,266794,31.40%,A. N. Radhakrishnan,BJP,99003,11.60%,Anitha Pratap,51517,6.10%,AAP,United Democratic Front,87047
13,Idukki,Dean Kuriakose,INC,331477,40.40%,Joice George,IND,382019,46.60%,Sabu Varghese,BJP,50438,6.20%,Silvi Sunil,11215,1.40%,AAP,Left Democratic Front,50542
14,Kottayam,Jose K Mani,KC(M),424194,51.00%,Mathew T. Thomas,JD(S),303595,36.50%,Noble Mathew,KC(N),44357,5.30%,Anil Aikkara,26381,3.20%,AAP,United Democratic Front,120599
15,Alappuzha,K. C. Venugopal,INC,462525,46.40%,C. B. Chandrababu,CPI(M),443118,44.40%,A. V. Thamarakshan,RSP(B),43051,4.30%,Thulaseedharan Pallickal,10993,1.10%,SDPI,United Democratic Front,19407
16,Mavelikkara,Kodikkunnil Suresh,INC,402432,45.30%,Chengara Surendran,CPI,369695,41.60%,P. Sudheer,BJP,79743,9.00%,Jyothish Perumpulickal,8946,1.00%,SDPI,United Democratic Front,32737
17,Pathanamthitta,Anto Antony Punnathaniyil,INC,358842,41.30%,Peelipose Thomas,IND,302651,34.80%,M. T. Ramesh,BJP,138954,17.40%,Peelipose,16493,1.90%,IND,United Democratic Front,56191
18,Kollam,N. K. Premachandran,RSP,408528,46.50%,M. A. Baby,CPI(M),370879,42.20%,P. M. Velayudhan,BJP,58671,6.70%,A. K. Salahudeen,12812,1.50%,SDPI,United Democratic Front,37649
19,Attingal,Bindu Krishna,INC,323100,37.60%,A. Sampath,CPI(M),392478,45.70%,Girijakumari S,BJP,90528,11.20%,M. K. Manoj Kumar,11225,1.30%,SDPI,Left Democratic Front,69378
20,Thiruvananthapuram,Shashi Tharoor,INC,297806,34.10%,Bennet Abraham,CPI,248941,28.50%,O. Rajagopal,BJP,282336,34.00%,Ajit Joy,14153,1.60%,AAP,United Democratic Front,15470
