State,Year,IndiaAlliance,LocalAlliance,Party,VoteSharePercentage,TotalVotes,WonSeats
ALLKERALA,2024,NDA,NDA,BJP,16.68%,3296354,
ALLKERALA,2024,OTHERS,OTHERS,BSP,0.25%,48963,
ALLKERALA,2024,INDIA,LDF,CPI,6.14%,1212197,
ALLKERALA,2024,INDIA,LDF,CPI(M),25.82%,5100964,
ALLKERALA,2024,INDIA,UDF,INC,35.06%,6927111,
ALLKERALA,2024,INDIA,UDF,IUML,6.07%,1199839,
ALLKERALA,2024,INDIA,UDF,KEC(M),1.38%,272418,
ALLKERALA,2024,OTHERS,OTHERS,NOTA,0.79%,156585,
ALLKERALA,2024,OTHERS,OTHERS,OTHERS,7.81%,1543974,
ALLKERALA,2019,INDIA,UDF,INC,37.46%,7596610,15
ALLKERALA,2019,INDIA,UDF,IUML,5.48%,1111697,2
ALLKERALA,2019,INDIA,UDF,RSP,2.46%,499677,1
ALLKERALA,2019,INDIA,UDF,KEC(M),2.08%,421046,1
ALLKERALA,2019,INDIA,LDF,CPI(M),25.97%,5266510,1
ALLKERALA,2019,INDIA,LDF,CPI,6.08%,1233886,0
ALLKERALA,2019,INDIA,LDF,LDF Ind.,4.24%,655991,0
ALLKERALA,2019,NDA,NDA,BJP,13.00%,2635810,0
ALLKERALA,2019,NDA,NDA,BDJS,1.88%,380847,0
ALLKERALA,2019,NDA,NDA,KC(T),0.76%,155135,0
ALLKERALA,2019,OTHERS,OTHERS,Others,0.59%,439959,
