#,Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
1,Kasaragod,RAJMOHAN UNNITHAN,INC,M.V BALAKRISHNAN MASTER,CPI(M),100649
2,Kannur,K. SUDHAKARAN,INC,M.V. JAYARAJAN,CPI(M),108982
3,Vadakara,SHAFI PARAMBIL,INC,K K SHAILAJA TEACHER,CPI(M),114506
4,Wayanad,RAHUL GANDHI,INC,ANNIE RAJA,CPI,364422
5,Kozhikode,M. K. RAGHAVAN,INC,ELAMARAM KAREEM,CPI(M),146176
6,Malappuram,E.T. MOHAMMED BASHEER,IUML,V. VASEEF,CPI(M),300118
7,Ponnani,DR. M.P ABDUSSAMAD SAMADANI,IUML,K.S HAMZA,CPI(M),235760
8,Palakkad,V K SREEKANDAN,INC,A VIJAYARAGHAVAN,CPI(M),75283
9,Alathur,K.RADHAKRISHNAN,CPI(M),RAMYA HARIDAS,INC,20111
10,Thrissur,SURESH GOPI,BJP,ADV V S SUNILKUMAR,CPI,74686
11,Chalakudy,BENNY BEHANAN,INC,PROF C RAVEENDRANATH,CPI(M),63754
12,Ernakulam,HIBI EDEN,INC,K. J. SHINE TEACHER,CPI(M),250385
13,Idukki,ADV. DEAN KURIAKOSE,INC,ADV. JOICE GEORGE,CPI(M),133727
14,Kottayam,ADV K FRANCIS GEORGE,KEC,THOMAS CHAZHIKADAN,KC(M),87266
15,Alappuzha,K. C VENUGOPAL,INC,A. M ARIFF,CPI(M),63513
16,Mavelikkara,KODIKUNNIL SURESH,INC,ADV ARUN KUMAR C A,CPI,10868
17,Pathanamthitta,ANTO ANTONY,INC,DR.T.M.THOMAS ISSAC,CPI(M),66119
18,Kollam,N K PREMACHANDRAN,RSP,M MUKESH,CPI(M),150302
19,Attingal,ADV ADOOR PRAKASH,INC,V JOY,CPI(M),684
20,Thiruvananthapuram,SHASHI THAROOR,INC,RAJEEV CHANDRASEKHAR,BJP,16077
