State, Poll,Date published, Polling agency,UDF (Seats),LDF (Seats),NDA (Seats),Others (Seats),UDF (VoteShare%),LDF (VoteShare%),NDA (VoteShare%),OTHERS(VoteShare%),INDIA (VoteShare%)
Kerala, Opinion poll,24-Apr, ABP News - CVoter,20,0,0,0,43,31,21,5,
Kerala, Opinion poll,24-Mar, Mathrubhumi News-P-MARQ,17,3,0,0,,,,,
Kerala, Opinion poll,24-Mar, News 18,17,2,1,0,,,,,
Kerala, Opinion poll,24-Mar, ABP News - CVoter,19,1,0,0,44.5,31.4,19.8,4.3,
Kerala, Opinion poll,24-Mar, India TV-CNX,16,3,1,0,,,,,
Kerala, Opinion poll,24-Feb, India Today-CVoter,20,,0,0,,,17,5,78
Kerala, Opinion poll,23-Dec, Times Now-ETG,15-17,3-5',0-1,0,,,,,
Kerala, Opinion poll,23-Oct, India TV-CNX,18,2,0,0,,,,,
Kerala, Opinion poll,23-Sep, Times Now-ETG,18-20,,0-2,0,,,,,
Kerala, Opinion poll,23-Aug, Times Now-ETG,18-20,,0-2,0,,,,,
Kerala, Opinion poll,23-Aug, India Today-CVoter,,,,,,,14,5,81
Kerala, Opinion poll,24-Jan, Manorama News - CVoter ,3,17,0,0,,,,,
Kerala, Opinion poll,24-Feb, Reporter TV- Mega Survey ,5,15,0,0,,,,,
Kerala, Opinion poll,24-Feb, 24 News - Jana Manasu ,2,18,0,0,,,,,
Kerala, Opinion poll,24-Mar, ABP News - CVoter,0,20,0,0,,,,,
Kerala, Opinion poll,24-Mar, CNN News18 - Mega Opinion Poll,4,14,2,0,,,,,
Kerala, Opinion poll,24-Mar, Mathrubhumi News-P-MARQ,5-6',14-15',0,0,,,,,
